V1	V2	V3
CAGL0C01133g	ORF|Uncharacterized	NULL
CAGL0C01155g	ORF|Uncharacterized	NULL
CAGL0C01177g	ORF|Uncharacterized	NULL
CAGL0C01199g	ORF|Verified	NULL
CAGL0C01221g	ORF|Uncharacterized	NULL
CAGL0C01243g	ORF|Uncharacterized	NULL
CAGL0C01265g	ORF|Uncharacterized	NULL
CAGL0C01287g	ORF|Uncharacterized	NULL
CAGL0C01309g	ORF|Uncharacterized	NULL
CAGL0C01325g	ORF|Uncharacterized	NULL
CAGL0C01331g	ORF|Uncharacterized	NULL
CAGL0C01353g	ORF|Uncharacterized	NULL
CAGL0C01375g	ORF|Uncharacterized	NULL
CAGL0C01397g	ORF|Uncharacterized	NULL
CAGL0C01419g	ORF|Uncharacterized	NULL
CAGL0C01435g	ORF|Uncharacterized	NULL
CAGL0C01441g	ORF|Uncharacterized	NULL
CAGL0C01463g	ORF|Uncharacterized	NULL
CAGL0C01485g	ORF|Uncharacterized	NULL
CAGL0C01507g	ORF|Uncharacterized	NULL
CAGL0C01529g	ORF|Uncharacterized	NULL
CAGL0C01551g	ORF|Uncharacterized	NULL
CAGL0C01573g	ORF|Uncharacterized	NULL
CAGL0C01595g	ORF|Uncharacterized	NULL
CAGL0C01617g	ORF|Uncharacterized	NULL
CAGL0C01639g	ORF|Uncharacterized	NULL
CAGL0C01661g	ORF|Uncharacterized	NULL
CAGL0C01683g	ORF|Uncharacterized	NULL
CAGL0C01705g	ORF|Uncharacterized	NULL
CAGL0C01727g	ORF|Uncharacterized	NULL
CAGL0C01749g	ORF|Uncharacterized	NULL
CAGL0C01771g	ORF|Uncharacterized	NULL
CAGL0C01793g	ORF|Uncharacterized	NULL
CAGL0C01815g	ORF|Uncharacterized	NULL
CAGL0C01837g	ORF|Uncharacterized	NULL
CAGL0C01859g	ORF|Uncharacterized	NULL
CAGL0C01881g	ORF|Uncharacterized	NULL
CAGL0C01903g	ORF|Uncharacterized	NULL
CAGL0C01919g	ORF|Uncharacterized	NULL
CAGL0C01925g	ORF|Uncharacterized	NULL
CAGL0C01947g	ORF|Uncharacterized	NULL
